,id,name,equation,definition,enzyme,substrates,products,stoichiometry_substrates,stoichiometry_products
1930,R02313,"N6-(L-1,3-Dicarboxypropyl)-L-lysine:NAD+ oxidoreductase",C00449 + C00003 + C00001 <=> C00025 + C04076 + C00004 + C00080,"N6-(L-1,3-Dicarboxypropyl)-L-lysine + NAD+ + H2O <=> L-Glutamate + L-2-Aminoadipate 6-semialdehyde + NADH + H+",1.5.1.9,"['C00449', 'C00003', 'C00001']","['C00025', 'C04076', 'C00004', 'C00080']","[1, 1, 1]","[1, 1, 1, 1]"
1931,R02315,"N6-(L-1,3-Dicarboxypropyl)-L-lysine:NADP+ oxidoreductase",C00449 + C00006 + C00001 <=> C00025 + C04076 + C00005 + C00080,"N6-(L-1,3-Dicarboxypropyl)-L-lysine + NADP+ + H2O <=> L-Glutamate + L-2-Aminoadipate 6-semialdehyde + NADPH + H+",1.5.1.10,"['C00449', 'C00006', 'C00001']","['C00025', 'C04076', 'C00005', 'C00080']","[1, 1, 1]","[1, 1, 1, 1]"
1932,R02317,(S)-2-amino-6-oxohexanoate hydro-lyase (spontaneous),C00450 + C00001 <=> C04076,"(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate + H2O <=> L-2-Aminoadipate 6-semialdehyde",1.2.1.31        1.4.1.18,"['C00450', 'C00001']",['C04076'],"[1, 1]",[1]
1933,R02318,"(1R,2S)-1-Hydroxypropane-1,2,3-tricarboxylate 1-epimerase",C00451 <=> C04617,"(1R,2S)-1-Hydroxypropane-1,2,3-tricarboxylate <=> (1S,2S)-1-Hydroxypropane-1,2,3-tricarboxylate",5.1.2.6,['C00451'],['C04617'],[1],[1]
1934,R02319,NTP phosphohydrolase,C00201 + C00001 <=> C00454 + C00009,Nucleoside triphosphate + H2O <=> NDP + Orthophosphate,3.6.1.5         3.6.1.15,"['C00201', 'C00001']","['C00454', 'C00009']","[1, 1]","[1, 1]"
1935,R02320,NTP:pyruvate O2-phosphotransferase,C00201 + C00022 <=> C00454 + C00074,Nucleoside triphosphate + Pyruvate <=> NDP + Phosphoenolpyruvate,2.7.1.40,"['C00201', 'C00022']","['C00454', 'C00074']","[1, 1]","[1, 1]"
1936,R02321,NTP:deoxycitidine 5'-phosphotransferase,C00201 + C00881 <=> C00454 + C00239,Nucleoside triphosphate + Deoxycytidine <=> NDP + dCMP,2.7.1.74,"['C00201', 'C00881']","['C00454', 'C00239']","[1, 1]","[1, 1]"
1937,R02322,nicotinamide-D-ribonucleotide amidohydrolase,C00455 + C00001 <=> C01185 + C00014,Nicotinamide D-ribonucleotide + H2O <=> Nicotinate D-ribonucleotide + Ammonia,3.5.1.42,"['C00455', 'C00001']","['C01185', 'C00014']","[1, 1]","[1, 1]"
1938,R02323,nicotinamide ribonucleotide phosphohydrolase,C00455 + C00001 <=> C03150 + C00009,Nicotinamide D-ribonucleotide + H2O <=> Nicotinamide-beta-riboside + Orthophosphate,3.1.3.5         3.1.3.-,"['C00455', 'C00001']","['C03150', 'C00009']","[1, 1]","[1, 1]"
1939,R02324,ATP:N-ribosylnicotinamide 5'-phosphotransferase,C00002 + C03150 <=> C00008 + C00455,ATP + Nicotinamide-beta-riboside <=> ADP + Nicotinamide D-ribonucleotide,2.7.1.22,"['C00002', 'C03150']","['C00008', 'C00455']","[1, 1]","[1, 1]"
1940,R02325,dCTP aminohydrolase,C00458 + C00001 <=> C00460 + C00014,dCTP + H2O <=> dUTP + Ammonia,3.5.4.13,"['C00458', 'C00001']","['C00460', 'C00014']","[1, 1]","[1, 1]"
1941,R02326,ATP:dCDP phosphotransferase,C00002 + C00705 <=> C00008 + C00458,ATP + dCDP <=> ADP + dCTP,2.7.4.6,"['C00002', 'C00705']","['C00008', 'C00458']","[1, 1]","[1, 1]"
1942,R02328,dTTP:alpha-D-glucose-1-phosphate thymidylyltransferase,C00459 + C00103 <=> C00013 + C00842,dTTP + D-Glucose 1-phosphate <=> Diphosphate + dTDP-glucose,2.7.7.24,"['C00459', 'C00103']","['C00013', 'C00842']","[1, 1]","[1, 1]"
1943,R02329,dTTP:alpha-D-galactose-1-phosphate thymidylyltransferase,C00459 + C00446 <=> C00013 + C02097,dTTP + alpha-D-Galactose 1-phosphate <=> Diphosphate + dTDP-galactose,2.7.7.32,"['C00459', 'C00446']","['C00013', 'C02097']","[1, 1]","[1, 1]"
1944,R02330,dUTP nucleotidohydrolase,C00460 + C00001 <=> C01346 + C00009,dUTP + H2O <=> dUDP + Orthophosphate,3.6.1.39,"['C00460', 'C00001']","['C01346', 'C00009']","[1, 1]","[1, 1]"
1945,R02331,ATP:dUDP phosphotransferase,C00002 + C01346 <=> C00008 + C00460,ATP + dUDP <=> ADP + dUTP,2.7.4.6,"['C00002', 'C01346']","['C00008', 'C00460']","[1, 1]","[1, 1]"
1946,R02333,Chitin amidohydrolase,C00461 + n C00001 <=> C00734 + n C00033,Chitin + n H2O <=> Chitosan + n Acetate,3.5.1.41,"['C00461', 'C00001']","['C00734', 'C00033']","[1, 'n']","[1, 'n']"
1947,R02334,"[1,4-(N-Acetyl-beta-D-glucosaminyl)]n glycanohydrolase",C00461 + C00001 <=> C01674 + C00461,Chitin + H2O <=> Chitobiose + Chitin,3.2.1.14,"['C00461', 'C00001']","['C01674', 'C00461']","[1, 1]","[1, 1]"
1948,R02335,UDP-N-acetyl-D-glucosamine:chitin 4-beta-N-acetylglucosaminyl-transferase,C00043 + C00461 <=> C00015 + C00461,UDP-N-acetyl-alpha-D-glucosamine + Chitin <=> UDP + Chitin,2.4.1.16,"['C00043', 'C00461']","['C00015', 'C00461']","[1, 1]","[1, 1]"
1949,R02336,Haloacetate halidohydrolase,C01812 + C00001 <=> C00160 + C00462,Haloacetate + H2O <=> Glycolate + Halide,3.8.1.3,"['C01812', 'C00001']","['C00160', 'C00462']","[1, 1]","[1, 1]"
1950,R02337,1-Haloalkane halidohydrolase,C01872 + C00001 <=> C00226 + C00462,1-Haloalkane + H2O <=> Primary alcohol + Halide,3.8.1.5,"['C01872', 'C00001']","['C00226', 'C00462']","[1, 1]","[1, 1]"
1951,R02338,"Indole:oxygen 2,3-oxidoreductase (decyclizing)",C00463 + C00007 <=> C03574,Indole + Oxygen <=> 2-Formylaminobenzaldehyde,1.13.11.17,"['C00463', 'C00007']",['C03574'],"[1, 1]",[1]
1952,R02339,Indole + Oxygen + NADPH + H+ <=> Indoxyl + H2O + NADP+,C00463 + C00007 + C00005 + C00080 <=> C05658 + C00001 + C00006,Indole + Oxygen + NADPH + H+ <=> Indoxyl + H2O + NADP+,1.14.16.-,"['C00463', 'C00007', 'C00005', 'C00080']","['C05658', 'C00001', 'C00006']","[1, 1, 1, 1]","[1, 1, 1]"
1953,R02340,"(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate D-glyceraldehyde-3-phosphate-lyase",C03506 <=> C00463 + C00118,Indoleglycerol phosphate <=> Indole + D-Glyceraldehyde 3-phosphate,4.1.2.8         4.2.1.20,['C03506'],"['C00463', 'C00118']",[1],"[1, 1]"
1954,R02341,N-D-ribosylpurine ribohydrolase,C15586 + C00001 <=> C15587 + C00121,N-D-Ribosylpurine + H2O <=> Purine + D-Ribose,3.2.2.1,"['C15586', 'C00001']","['C15587', 'C00121']","[1, 1]","[1, 1]"
1955,R02343,Acetoin:NAD+ oxidoreductase,C00466 + C00003 <=> C00741 + C00004 + C00080,Acetoin + NAD+ <=> Diacetyl + NADH + H+,,"['C00466', 'C00003']","['C00741', 'C00004', 'C00080']","[1, 1]","[1, 1, 1]"
1956,R02344,"(S,S)-butane-2,3-diol:NAD+ oxidoreductase",C03046 + C00003 <=> C00466 + C00004 + C00080,"(S,S)-Butane-2,3-diol + NAD+ <=> Acetoin + NADH + H+",,"['C03046', 'C00003']","['C00466', 'C00004', 'C00080']","[1, 1]","[1, 1, 1]"
1957,R02345,3-Hydroxybutan-2-one:D-ribose-5-phosphate aldehydetransferase,C00466 + C00117 <=> C00084 + C04359,Acetoin + D-Ribose 5-phosphate <=> Acetaldehyde + 1-Deoxy-D-altro-heptulose 7-phosphate,2.2.1.4,"['C00466', 'C00117']","['C00084', 'C04359']","[1, 1]","[1, 1]"
1958,R02347,Estradiol-17alpha:NAD+ 17-oxidoreductase,C02537 + C00003 <=> C00468 + C00004 + C00080,Estradiol-17alpha + NAD+ <=> Estrone + NADH + H+,1.1.1.148,"['C02537', 'C00003']","['C00468', 'C00004', 'C00080']","[1, 1]","[1, 1, 1]"
1959,R02349,Estradiol-17alpha:NADP+ 16-oxidoreductase,C02537 + C00006 <=> C00468 + C00005 + C00080,Estradiol-17alpha + NADP+ <=> Estrone + NADPH + H+,1.1.1.148,"['C02537', 'C00006']","['C00468', 'C00005', 'C00080']","[1, 1]","[1, 1, 1]"
1960,R02350,3'-Phosphoadenylylsulfate:estrone 3-sulfotransferase,C00053 + C00468 <=> C00054 + C02538,"3'-Phosphoadenylyl sulfate + Estrone <=> Adenosine 3',5'-bisphosphate + Estrone 3-sulfate",2.8.2.4         2.8.2.15,"['C00053', 'C00468']","['C00054', 'C02538']","[1, 1]","[1, 1]"
1961,R02351,"19-oxoandrostenedione,NADPH---hemoprotein reductase:oxygen oxidoreductase (aromatizing, formate-forming)",C05297 + C00007 + C03024 <=> C00468 + C00058 + C03161 + C00001,"19-Oxoandrost-4-ene-3,17-dione + Oxygen + [Reduced NADPH---hemoprotein reductase] <=> Estrone + Formate + [Oxidized NADPH---hemoprotein reductase] + H2O",1.14.14.14,"['C05297', 'C00007', 'C03024']","['C00468', 'C00058', 'C03161', 'C00001']","[1, 1, 1]","[1, 1, 1, 1]"
1962,R02352,Estradiol-17beta:NAD+ 17-oxidoreductase,C00951 + C00003 <=> C00468 + C00004 + C00080,Estradiol-17beta + NAD+ <=> Estrone + NADH + H+,1.1.1.51        1.1.1.62,"['C00951', 'C00003']","['C00468', 'C00004', 'C00080']","[1, 1]","[1, 1, 1]"
1963,R02353,Estradiol-17beta:NADP+ 17-oxidoreductase,C00951 + C00006 <=> C00468 + C00005 + C00080,Estradiol-17beta + NADP+ <=> Estrone + NADPH + H+,1.1.1.51        1.1.1.62,"['C00951', 'C00006']","['C00468', 'C00005', 'C00080']","[1, 1]","[1, 1, 1]"
1964,R02354,Estrone + H+ + Oxygen + NADH <=> 2-Hydroxyestrone + NAD+ + H2O,C00468 + C00080 + C00007 + C00004 <=> C05298 + C00003 + C00001,Estrone + H+ + Oxygen + NADH <=> 2-Hydroxyestrone + NAD+ + H2O,1.14.14.1,"['C00468', 'C00080', 'C00007', 'C00004']","['C05298', 'C00003', 'C00001']","[1, 1, 1, 1]","[1, 1, 1]"
1965,R02355,Estrone + H+ + Oxygen + NADPH <=> 2-Hydroxyestrone + NADP+ + H2O,C00468 + C00080 + C00007 + C00005 <=> C05298 + C00006 + C00001,Estrone + H+ + Oxygen + NADPH <=> 2-Hydroxyestrone + NADP+ + H2O,1.14.14.1,"['C00468', 'C00080', 'C00007', 'C00005']","['C05298', 'C00006', 'C00001']","[1, 1, 1, 1]","[1, 1, 1]"
1966,R02356,Estrone + H+ + Oxygen + NADPH <=> 16alpha-Hydroxyestrone + NADP+ + H2O,C00468 + C00080 + C00007 + C00005 <=> C05300 + C00006 + C00001,Estrone + H+ + Oxygen + NADPH <=> 16alpha-Hydroxyestrone + NADP+ + H2O,1.14.14.1       1.14.14.-,"['C00468', 'C00080', 'C00007', 'C00005']","['C05300', 'C00006', 'C00001']","[1, 1, 1, 1]","[1, 1, 1]"
1967,R02358,UDPglucuronate beta-D-glucuronosyltransferase(acceptor-unspecific),C00468 + C00167 <=> C11133 + C00015,Estrone + UDP-glucuronate <=> Estrone glucuronide + UDP,2.4.1.17,"['C00468', 'C00167']","['C11133', 'C00015']","[1, 1]","[1, 1]"
1968,R02359,Urethane amidohydrolase (decarboxylating),C01537 + C00001 <=> C00469 + C00011 + C00014,Urethane + H2O <=> Ethanol + CO2 + Ammonia,3.5.1.75,"['C01537', 'C00001']","['C00469', 'C00011', 'C00014']","[1, 1]","[1, 1, 1]"
1969,R02360,"poly(1,4-alpha-D-galacturonate) glycanohydrolase",C00470 + C00001 <=> C02273 + C00470,Pectate + H2O <=> Digalacturonate + Pectate,3.2.1.15        3.2.1.82,"['C00470', 'C00001']","['C02273', 'C00470']","[1, 1]","[1, 1]"
1970,R02361,(1->4)-alpha-D-galacturonan reducing-end-disaccharide-lyase,C00470 <=> C06118 + C00470,Pectate <=> 4-(4-Deoxy-alpha-D-gluc-4-enuronosyl)-D-galacturonate + Pectate,4.2.2.2         4.2.2.9,['C00470'],"['C06118', 'C00470']",[1],"[1, 1]"
1971,R02362,Pectin pectylhydrolase,C00714 + n C00001 <=> n C00132 + C00470,Pectin + n H2O <=> n Methanol + Pectate,3.1.1.11,"['C00714', 'C00001']","['C00132', 'C00470']","[1, 'n']","['n', 1]"
1972,R02363,Hydroquinone:oxygen oxidoreductase,2 C00530 + C00007 <=> 2 C00472 + 2 C00001,2 Hydroquinone + Oxygen <=> 2 p-Benzoquinone + 2 H2O,1.14.18.1,"['C00530', 'C00007']","['C00472', 'C00001']","['2', 1]","['2', '2']"
1973,R02364,NADPH2:quinone oxidoreductase,2 C15602 + C00005 + C00080 <=> 2 C05309 + C00006,2 Quinone + NADPH + H+ <=> 2 Semiquinone + NADP+,1.6.5.5,"['C15602', 'C00005', 'C00080']","['C05309', 'C00006']","['2', 1, 1]","['2', 1]"
1974,R02365,Cellobiose:quinone 1-oxidoreductase,C00185 + C15602 <=> C01093 + C15603,"Cellobiose + Quinone <=> Cellobiono-1,5-lactone + Hydroquinone",1.1.99.18,"['C00185', 'C15602']","['C01093', 'C15603']","[1, 1]","[1, 1]"
1975,R02366,Acyl-CoA:retinol O-acyltransferase,C00040 + C00473 <=> C00010 + C02075,Acyl-CoA + Retinol <=> CoA + Retinyl ester,2.3.1.76,"['C00040', 'C00473']","['C00010', 'C02075']","[1, 1]","[1, 1]"
1976,R02367,Palmitoyl-CoA:retinol O-acyltransferase,C00154 + C00473 <=> C00010 + C02588,Palmitoyl-CoA + Retinol <=> CoA + Retinyl palmitate,2.3.1.76,"['C00154', 'C00473']","['C00010', 'C02588']","[1, 1]","[1, 1]"
1977,R02368,retinyl-palmitate palmitohydrolase,C02588 + C00001 <=> C00473 + C00249,Retinyl palmitate + H2O <=> Retinol + Hexadecanoic acid,3.1.1.-,"['C02588', 'C00001']","['C00473', 'C00249']","[1, 1]","[1, 1]"
1978,R02369,all-trans-Retinol 11-cis-trans-isomerase,C00473 <=> C00899,Retinol <=> 11-cis-Retinol,,['C00473'],['C00899'],[1],[1]
1979,R02370,cytidine 3'-phosphate phosphohydrolase,C05822 + C00001 <=> C00475 + C00009,3'-CMP + H2O <=> Cytidine + Orthophosphate,3.1.3.6,"['C05822', 'C00001']","['C00475', 'C00009']","[1, 1]","[1, 1]"
1980,R02373,ecdysone:oxygen 3-oxidoreductase,C00477 + C00007 <=> C02513 + C00027,Ecdysone + Oxygen <=> 3-Dehydroecdysone + Hydrogen peroxide,1.1.3.16,"['C00477', 'C00007']","['C02513', 'C00027']","[1, 1]","[1, 1]"
1981,R02374,"Ecdysone, hydrogen-donor:oxygen oxidoreductase (20-hydroxylating)",C00477 + C00030 + C00007 <=> C02633 + C00028 + C00001,Ecdysone + Reduced acceptor + Oxygen <=> 20-Hydroxyecdysone + Acceptor + H2O,1.14.99.22,"['C00477', 'C00030', 'C00007']","['C02633', 'C00028', 'C00001']","[1, 1, 1]","[1, 1, 1]"
1982,R02375,Palmitoyl-CoA:ecdysone O-palmitoyltransferase,C00154 + C00477 <=> C00010 + C02681,Palmitoyl-CoA + Ecdysone <=> CoA + Ecdysone palmitate,2.3.1.139,"['C00154', 'C00477']","['C00010', 'C02681']","[1, 1]","[1, 1]"
1983,R02376,"propane-1,2-diol hydro-lyase",C00583 <=> C00479 + C00001,"Propane-1,2-diol <=> Propanal + H2O",4.2.1.28,['C00583'],"['C00479', 'C00001']",[1],"[1, 1]"
1984,R02377,"Propane-1,3-diol:NAD+ 1-oxidoreductase",C05979 + C00003 <=> C00479 + C00004 + C00080,Propane-1-ol + NAD+ <=> Propanal + NADH + H+,1.1.1.202,"['C05979', 'C00003']","['C00479', 'C00004', 'C00080']","[1, 1]","[1, 1, 1]"
1985,R02378,L-Serine hydro-lyase (adding pyrazole),C00065 + C00481 <=> C01162 + C00001,L-Serine + Pyrazole <=> 3-(Pyrazol-1-yl)-L-alanine + H2O,4.2.1.50,"['C00065', 'C00481']","['C01162', 'C00001']","[1, 1]","[1, 1]"
1986,R02379,"S-Adenosyl-L-methionine:3,4-dihydroxy-trans-cinnamate 3-O-methyltransferase",C00019 + C05619 <=> C00021 + C00482,S-Adenosyl-L-methionine + 5-Hydroxyferulic acid <=> S-Adenosyl-L-homocysteine + Sinapate,2.1.1.68,"['C00019', 'C05619']","['C00021', 'C00482']","[1, 1]","[1, 1]"
1987,R02380,UDPglucose:sinapate D-glucosyltransferase,C00029 + C00482 <=> C00015 + C01175,UDP-glucose + Sinapate <=> UDP + 1-O-Sinapoyl-beta-D-glucose,2.4.1.120       2.4.1.126,"['C00029', 'C00482']","['C00015', 'C01175']","[1, 1]","[1, 1]"
1988,R02381,Sinapoylcholine sinapohydrolase,C00933 + C00001 <=> C00482 + C00114,Sinapine + H2O <=> Sinapate + Choline,3.1.1.49,"['C00933', 'C00001']","['C00482', 'C00114']","[1, 1]","[1, 1]"
1989,R02382,tyramine:oxygen oxidoreductase(deaminating)(flavin-containing),C00483 + C00001 + C00007 <=> C03765 + C00014 + C00027,Tyramine + H2O + Oxygen <=> 4-Hydroxyphenylacetaldehyde + Ammonia + Hydrogen peroxide,1.4.3.4         1.4.3.21        1.4.3.-         1.4.9.2,"['C00483', 'C00001', 'C00007']","['C03765', 'C00014', 'C00027']","[1, 1, 1]","[1, 1, 1]"
1990,R02383,"Monophenol,L-dopa:oxygen oxidoreductase",C00483 + C00007 + C00004 + C00080 <=> C03758 + C00003 + C00001,Tyramine + Oxygen + NADH + H+ <=> Dopamine + NAD+ + H2O,1.14.13.-       1.14.18.1,"['C00483', 'C00007', 'C00004', 'C00080']","['C03758', 'C00003', 'C00001']","[1, 1, 1, 1]","[1, 1, 1]"
1991,R02384,S-Adenosyl-L-methionine:tyramine N-methyltransferase,C00019 + C00483 <=> C00021 + C02442,S-Adenosyl-L-methionine + Tyramine <=> S-Adenosyl-L-homocysteine + N-Methyltyramine,2.1.1.27,"['C00019', 'C00483']","['C00021', 'C02442']","[1, 1]","[1, 1]"
1992,R02385,Feruloyl-CoA:tyramine N-(hydroxycinnamoyl)transferase,C00406 + C00483 <=> C00010 + C02717,Feruloyl-CoA + Tyramine <=> CoA + N-Feruloyltyramine,2.3.1.110,"['C00406', 'C00483']","['C00010', 'C02717']","[1, 1]","[1, 1]"
1993,R02387,Acetyl-CoA:arylamine N-acetyltransferase,C00024 + C00292 <=> C00010 + C07565,Acetyl-CoA + Aniline <=> CoA + Acetanilide,2.3.1.5,"['C00024', 'C00292']","['C00010', 'C07565']","[1, 1]","[1, 1]"
1994,R02388,UDPglucose:arylamine N-D-glucosyltransferase,C00029 + C00292 <=> C00015 + C03142,UDP-glucose + Aniline <=> UDP + N-D-Glucosylarylamine,2.4.1.71,"['C00029', 'C00292']","['C00015', 'C03142']","[1, 1]","[1, 1]"
1995,R02389,UDPglucuronate beta-D-glucuronosyltransferase(acceptor-unspecific),2 C00167 + C00486 <=> 2 C00015 + C05787,2 UDP-glucuronate + Bilirubin <=> 2 UDP + Bilirubin beta-diglucuronide,2.4.1.17,"['C00167', 'C00486']","['C00015', 'C05787']","['2', 1]","['2', 1]"
1996,R02391,Bilirubin:NAD+ oxidoreductase,C00486 + C00003 <=> C00500 + C00004 + C00080,Bilirubin + NAD+ <=> Biliverdin + NADH + H+,1.3.1.24,"['C00486', 'C00003']","['C00500', 'C00004', 'C00080']","[1, 1]","[1, 1, 1]"
1997,R02393,Bilirubin:NADP+ oxidoreductase,C00486 + C00006 <=> C00500 + C00005 + C00080,Bilirubin + NADP+ <=> Biliverdin + NADPH + H+,1.3.1.24,"['C00486', 'C00006']","['C00500', 'C00005', 'C00080']","[1, 1]","[1, 1, 1]"
1998,R02394,Bilirubin:oxygen oxidoreductase,2 C00486 + C00007 <=> 2 C00500 + 2 C00001,2 Bilirubin + Oxygen <=> 2 Biliverdin + 2 H2O,1.3.3.5,"['C00486', 'C00007']","['C00500', 'C00001']","['2', 1]","['2', '2']"
1999,R02395,Carnitine:NAD+ 3-oxidoreductase,C00487 + C00003 <=> C02636 + C00004 + C00080,Carnitine + NAD+ <=> 3-Dehydrocarnitine + NADH + H+,1.1.1.108,"['C00487', 'C00003']","['C02636', 'C00004', 'C00080']","[1, 1]","[1, 1, 1]"
2000,R02396,Acetyl-CoA:carnitine O-acetyltransferase,C00024 + C00487 <=> C00010 + C02571,Acetyl-CoA + Carnitine <=> CoA + O-Acetylcarnitine,2.3.1.7,"['C00024', 'C00487']","['C00010', 'C02571']","[1, 1]","[1, 1]"
2001,R02397,"4-Trimethylammoniobutanoate,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)",C01181 + C00026 + C00007 <=> C00487 + C00042 + C00011,4-Trimethylammoniobutanoate + 2-Oxoglutarate + Oxygen <=> Carnitine + Succinate + CO2,1.14.11.1,"['C01181', 'C00026', 'C00007']","['C00487', 'C00042', 'C00011']","[1, 1, 1]","[1, 1, 1]"
2002,R02398,Carnitine carboxy-lyase,C00487 <=> C02224 + C00011,Carnitine <=> 2-Methylcholine + CO2,4.1.1.42,['C00487'],"['C02224', 'C00011']",[1],"[1, 1]"
2003,R02401,glutarate-semialdehyde:NAD+ oxidoreductase,C03273 + C00003 + C00001 <=> C00489 + C00004 + C00080,5-Oxopentanoate + NAD+ + H2O <=> Glutarate + NADH + H+,1.2.1.20,"['C03273', 'C00003', 'C00001']","['C00489', 'C00004', 'C00080']","[1, 1, 1]","[1, 1, 1]"
2004,R02402,Glutarate:CoA ligase (ADP-forming),C00002 + C00489 + C00010 <=> C00008 + C00009 + C00527,ATP + Glutarate + CoA <=> ADP + Orthophosphate + Glutaryl-CoA,6.2.1.6,"['C00002', 'C00489', 'C00010']","['C00008', 'C00009', 'C00527']","[1, 1, 1]","[1, 1, 1]"
2005,R02404,Itaconate:CoA ligase (ADP-forming),C00002 + C00490 + C00010 <=> C00008 + C00009 + C00531,ATP + Itaconate + CoA <=> ADP + Orthophosphate + Itaconyl-CoA,6.2.1.5,"['C00002', 'C00490', 'C00010']","['C00008', 'C00009', 'C00531']","[1, 1, 1]","[1, 1, 1]"
2006,R02405,Itaconate:CoA ligase (GDP-forming),C00044 + C00490 + C00010 <=> C00035 + C00009 + C00531,GTP + Itaconate + CoA <=> GDP + Orthophosphate + Itaconyl-CoA,6.2.1.4,"['C00044', 'C00490', 'C00010']","['C00035', 'C00009', 'C00531']","[1, 1, 1]","[1, 1, 1]"
2007,R02406,Itaconate:CoA ligase (IDP-forming),C00081 + C00490 + C00010 <=> C00104 + C00009 + C00531,ITP + Itaconate + CoA <=> IDP + Orthophosphate + Itaconyl-CoA,6.2.1.4,"['C00081', 'C00490', 'C00010']","['C00104', 'C00009', 'C00531']","[1, 1, 1]","[1, 1, 1]"
2008,R02407,succinyl-CoA:itaconate CoA-transferase,C00091 + C00490 <=> C00042 + C00531,Succinyl-CoA + Itaconate <=> Succinate + Itaconyl-CoA,2.8.3.-,"['C00091', 'C00490']","['C00042', 'C00531']","[1, 1]","[1, 1]"
2009,R02408,L-cystine thiocysteine-lyase (deaminating,C00491 + C00001 <=> C00022 + C00014 + C01962,L-Cystine + H2O <=> Pyruvate + Ammonia + Thiocysteine,4.4.1.1         4.4.1.13        4.4.1.35,"['C00491', 'C00001']","['C00022', 'C00014', 'C01962']","[1, 1]","[1, 1, 1]"
2010,R02409,Coenzyme A:oxidized-glutathione oxidoreductase,C00491 + C00059 <=> C05824 + C00097,L-Cystine + Sulfate <=> S-Sulfo-L-cysteine + L-Cysteine,1.8.4.3,"['C00491', 'C00059']","['C05824', 'C00097']","[1, 1]","[1, 1]"
2011,R02410,Raffinose fructohydrolase,C00492 + C00001 <=> C05402 + C00095,Raffinose + H2O <=> Melibiose + D-Fructose,3.2.1.26,"['C00492', 'C00001']","['C05402', 'C00095']","[1, 1]","[1, 1]"
2012,R02411,1-alpha-D-Galactosyl-myo-inositol:sucrose 6-alpha-D-galactosyltransferase,C01235 + C00089 <=> C00137 + C00492,alpha-D-Galactosyl-(1->3)-1D-myo-inositol + Sucrose <=> myo-Inositol + Raffinose,2.4.1.82,"['C01235', 'C00089']","['C00137', 'C00492']","[1, 1]","[1, 1]"
2013,R02412,ATP:shikimate 3-phosphotransferase,C00002 + C00493 <=> C00008 + C03175,ATP + Shikimate <=> ADP + Shikimate 3-phosphate,2.7.1.71,"['C00002', 'C00493']","['C00008', 'C03175']","[1, 1]","[1, 1]"
2014,R02413,Shikimate:NADP+ 3-oxidoreductase,C00493 + C00006 <=> C02637 + C00005 + C00080,Shikimate + NADP+ <=> 3-Dehydroshikimate + NADPH + H+,1.1.1.25        1.1.1.282,"['C00493', 'C00006']","['C02637', 'C00005', 'C00080']","[1, 1]","[1, 1, 1]"
2015,R02415,Shikimate:pyrroloquinoline-quinone 3-oxidoreductase,C00493 + C00113 <=> C02637 + C01359,Shikimate + PQQ <=> 3-Dehydroshikimate + PQQH2,1.1.5.8,"['C00493', 'C00113']","['C02637', 'C01359']","[1, 1]","[1, 1]"
2016,R02416,4-Coumaroyl-CoA:shikimate O-(hydroxycinnamoyl)transferase,C00223 + C00493 <=> C00010 + C02947,p-Coumaroyl-CoA + Shikimate <=> CoA + 4-Coumaroylshikimate,2.3.1.133,"['C00223', 'C00493']","['C00010', 'C02947']","[1, 1]","[1, 1]"
2017,R02417,"questin,NADPH:oxygen oxidoreductase (hydroxylating, anthraquinone-ring-opening)",C01448 + C00007 + C00005 + C00080 <=> C15504 + C00006,Questin + Oxygen + NADPH + H+ <=> Demethylsulochrin + NADP+,1.14.13.43,"['C01448', 'C00007', 'C00005', 'C00080']","['C15504', 'C00006']","[1, 1, 1, 1]","[1, 1]"
2018,R02418,Ubiquitin-C-terminal-thiolester hydrolase,C04090 + C00001 <=> C00496 + C00145,Ubiquitin C-terminal thiolester + H2O <=> Ubiquitin + Thiol,3.4.19.12,"['C04090', 'C00001']","['C00496', 'C00145']","[1, 1]","[1, 1]"
2019,R02419,(R)-Malate hydro-lyase,C00497 <=> C01384 + C00001,(R)-Malate <=> Maleic acid + H2O,4.2.1.31,['C00497'],"['C01384', 'C00001']",[1],"[1, 1]"
2020,R02420,ADPglucose:protein 4-alpha-D-glucosyltransferase,C00498 + C00017 <=> C00008 + C01140,ADP-glucose + Protein <=> ADP + alpha-D-Glucosyl-protein,2.4.1.113,"['C00498', 'C00017']","['C00008', 'C01140']","[1, 1]","[1, 1]"
2021,R02421,"ADP-glucose:1,4-alpha-D-glucan 4-alpha-D-glucosyltransferase",C00498 + C00718 <=> C00008 + C00718,ADP-glucose + Amylose <=> ADP + Amylose,2.4.1.21        2.4.1.242,"['C00498', 'C00718']","['C00008', 'C00718']","[1, 1]","[1, 1]"
2022,R02422,Allantoate amidinohydrolase,C00499 + C00001 <=> C00603 + C00086,Allantoate + H2O <=> (S)-Ureidoglycolate + Urea,3.5.3.4,"['C00499', 'C00001']","['C00603', 'C00086']","[1, 1]","[1, 1]"
2023,R02423,allantoate amidinohydrolase (decarboxylating),C00499 + C00001 <=> C02091 + C00014 + C00011,Allantoate + H2O <=> (S)-Ureidoglycine + Ammonia + CO2,3.5.3.9,"['C00499', 'C00001']","['C02091', 'C00014', 'C00011']","[1, 1]","[1, 1, 1]"
